"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bermuda","BMU","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.59","","","","","","","","","7.901","","","","","","","","","15.341","15.043","","36.466","","29","","","","","","","","","","","",
"Bolivia","BOL","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","3.968","14.743","","","","","","","","7.045","9.94","3.865","","","10.426","","","","","","","","7.358","6.549","","6.5","4.665","5.699","7.042","8.658","7.824","7.689","7.033","7.719","16.552","8.492","6.65","5.363","4.824","",
"Brazil","BRA","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","6.928","5.154","7.392","8.137","9.798","10.105","","16.805","14.248","","16.875","18.996","21.516","25.206","26.297","","25.082","26.01","27.317","25.839","27.498","25.625","24.656","23.238","25.859","","22","19.73","19.277","18.809","23.559","30.858","33.017","32.183","31.856","35.337","33.608","24.715","20.978","18.651","15.804",
"Barbados","BRB","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","39.161","","","45.801","47.368","41.481","34.127","40.541","37.302","48.276","45.24","50.443","42.424","31.298","34.783","29.36","26.79","","25.83","25.94","28.723","","","","","","24.324","25.317","","","31.884","39.437","30.818","28.351","26.072","24.381","21.167","","31.762","26.797","17.414","","",
"Brunei Darussalam","BRN","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.939","","","29.477","32.528","24.789","32.44","22.955","22.053","21.181","23.185","",
"Bhutan","BTN","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.684","10.964","10.927","7.219","9.876","10.04","12.711","","","16.088","13.803","25.421","24.64","32.84","17.725","19.649","",
"Botswana","BWA","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","45.472","","","","","","33.367","","","","","42.431","","","","","46.074","","","","","38.204","","","41.192","43.453","49.187","","","","","","","","35.282","45.621","51.649","51.986","51.699","48.979","",
"Central African Republic","CAF","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","11.616","12.983","13.294","12.387","12.171","11.697","15.5","16.387","15.414","14.018","13.153","11.948","10.49","9.575","11.029","12.896","14.485","14.42","13.679","13.184","13.782","15.288","13.598","12.676","11.393","11.098","11.712","11.799","11.829","10.6","10.32","9.841","9.822","12.076","12.151","12.053","12.277","11.595","11.474","10.784","10.7","9.572","9.38","9.344","19.436","12.531","8.916","9.964","11.859","12.85",
"Central Europe and the Baltics","CEB","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5683928205602","19.520667478525","23.435852938401","25.6427946028297","29.2576504535583","31.2869005944821","31.0046843914138","29.8193476948257","27.8077030686743","24.7068882360551","19.4938296731018","17.7890683449096","20.9392300721164","24.5602267113494","26.254236665878","27.1176907990053","27.7887085192034","24.3663688514147","21.1606294017424","18.0882142088937","15.2943095687963","13.0210658347145","12.0414689020142","14.1495750397709","15.6274474245409","14.462656260656","13.8709430545035","15.0726013873024","",
"Switzerland","CHE","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.291","3.472","2.764","5.486","6.264","4.553","4.05","3.841","6.998","5.656","3.907","5.496","3.925","8.722","7.361","9.083","7.465","7.392","7.395","8.954","8.696","7.895","8.004","8.777","8.562","8.396","8.404","7.978","7.455","7.166","8.009","8.281","6.815","7.594","8.465","",
"Channel Islands","CHI","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","27.023","29.179","","18.905","","18.007","15.316","12.44","15.221","13.185","12.126","15.367","12.746","16.602","","24.002","","23.581","","","25.951","","","21.517","","","28.676","21.869","21.371","19.479","19.676","19.735","18.283","17.687","19.965","20.723","20.078","26.425","23.041","20.088","24.408","23.68","25.451",
"China","CHN","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.611","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.924","","","","","","","","","","","","","","9.326","7.54","","","2.938","6.488","","4.856","","","4.853","","","",
"Cameroon","CMR","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.346","","4.988","","","7.461","","","","6.806","","","","","","","7.863","","","","",
"Congo, Dem. Rep.","COD","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.804","","","","","","","6.757","","","","8.893","","","","1.251","","","","","",
"Congo, Rep.","COG","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.209","","","","15.066","","","","","","","","","","","","","","","","",
"Colombia","COL","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","24.856","20.914","","","","19.834","19.495","","18.755","","22.625","","","","","34.762","33.438","32.228","33.604","29.492","","26.384","27.951","29.419","29.085","27.627","26.518","24.972","23.651","23.282","23.628","24.101","25.04","26.246","34.341","31.698","26.506","23.787","23.993","22.375",
"Comoros","COM","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.649","","","","","","","","","","18.779","","","","","","","10.971","","","","",
"Cabo Verde","CPV","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.854","","","","","","","","","","","","","","","","","","","27.032","","","","","","65.345","","36.362","31.857","14.4","","","","","","",
"Costa Rica","CRI","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.398","17.332","18.013","18.508","21.785","19.48","14.83","13.407","22.055","20.524","29.095","27.619","25.68","30.046","26.671","28.441","25.583","31.894","36.581","50.147","47.909","37.614","29.282","23.531","25.479",
"Caribbean small states","CSS","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0877478324036","","","22.897954954306","","","","","","",
